bnumber	domain
b0071	IPR000573
b0071	IPR033940
b0072	IPR004430
b0072	IPR015931
b0072	IPR001030
b0072	IPR018136
b0072	IPR036008
b0072	IPR033941
b0073	IPR019818
b0073	IPR024084
b0073	IPR004429
b0074	IPR013709
b0074	IPR002034
b0074	IPR013785
b0074	IPR036230
b0074	IPR005671
b0074	IPR000891
b0075	IPR012570
b0076	IPR005119
b0076	IPR000847
b0076	IPR036388
b0076	IPR036390
b0077	IPR012846
b0077	IPR039368
b0077	IPR029035
b0077	IPR029061
b0077	IPR012000
b0077	IPR012001
b0077	IPR000399
b0077	IPR011766
b0078	IPR004789
b0078	IPR027271
b0078	IPR019455
b0078	IPR002912
b0078	IPR039557
b0080	IPR012781
b0080	IPR000843
b0080	IPR010982
b0080	IPR001761
b0080	IPR028082
b0081	IPR003444
b0081	IPR035644
b0081	IPR020603
b0081	IPR035642
b0081	IPR038619
b0081	IPR007159
b0081	IPR037914
b0082	IPR002903
b0082	IPR023397
b0082	IPR029063
b0083	IPR011922
b0084	IPR012338
b0084	IPR037532
b0084	IPR005311
b0084	IPR036138
b0084	IPR001460
b0085	IPR036565
b0085	IPR004101
b0085	IPR036615
b0085	IPR013221
b0085	IPR000713
b0085	IPR035911
b0085	IPR005761
b0086	IPR036565
b0086	IPR004101
b0086	IPR036615
b0086	IPR013221
b0086	IPR000713
b0086	IPR035911
b0086	IPR005863
b0087	IPR000715
b0087	IPR003524
b0087	IPR018480
b0088	IPR036565
b0088	IPR004101
b0088	IPR036615
b0088	IPR013221
b0088	IPR005762
b0089	IPR018365
b0089	IPR013437
b0089	IPR001182
b0090	IPR006009
b0090	IPR007235
b0090	IPR004276
b0091	IPR036565
b0091	IPR004101
b0091	IPR036615
b0091	IPR013221
b0091	IPR000713
b0091	IPR005758
b0092	IPR011761
b0092	IPR013815
b0092	IPR000291
b0092	IPR005905
b0092	IPR011095
b0092	IPR011127
b0092	IPR016185
b0093	IPR005548
b0093	IPR026579
b0093	IPR034746
b0093	IPR013685
b0094	IPR043129
b0094	IPR020823
b0094	IPR003494
b0095	IPR000158
b0095	IPR020805
b0095	IPR024757
b0095	IPR008280
b0095	IPR018316
b0095	IPR036525
b0095	IPR003008
b0096	IPR020568
b0096	IPR004463
b0096	IPR011334
b0096	IPR015870
b0097	IPR009502
b0098	IPR027417
b0098	IPR004027
b0098	IPR000185
b0098	IPR020937
b0098	IPR011115
b0098	IPR014018
b0098	IPR011130
b0098	IPR011116
b0098	IPR036266
b0098	IPR036670
b0099	IPR003561
b0099	IPR020476
b0099	IPR015797
b0099	IPR020084
b0099	IPR000086
b0101	IPR005584
b0101	IPR013088
b0102	IPR009777
b0102	IPR027462
b0102	IPR036268
b0103	IPR001977
b0103	IPR027417
b0104	IPR013785
b0104	IPR005993
b0104	IPR015875
b0104	IPR001093
b0106	IPR003004
b0106	IPR001992
b0106	IPR018076
b0106	IPR042094
b0107	IPR027417
b0107	IPR001482
b0107	IPR007831
b0108	IPR012902
b0109	IPR013785
b0109	IPR004393
b0109	IPR027277
b0109	IPR036068
b0109	IPR037128
b0109	IPR002638
b0109	IPR022412
b0110	IPR036505
b0110	IPR002502
b0111	IPR031347
b0112	IPR004841
b0112	IPR004840
b0113	IPR011711
b0113	IPR008920
b0113	IPR000524
b0113	IPR036388
b0113	IPR036390
b0114	IPR035807
b0114	IPR004660
b0114	IPR041621
b0114	IPR029061
b0114	IPR009014
b0114	IPR005474
b0115	IPR003016
b0115	IPR001078
b0115	IPR006256
b0115	IPR000089
b0115	IPR023213
b0115	IPR036625
b0115	IPR004167
b0115	IPR011053
b0116	IPR036188
b0116	IPR023753
b0116	IPR016156
b0116	IPR006258
b0116	IPR001100
b0116	IPR004099
b0116	IPR012999
b0117	IPR021728
b0118	IPR015931
b0118	IPR001030
b0118	IPR015928
b0118	IPR018136
b0118	IPR036008
b0118	IPR004406
b0118	IPR015933
b0118	IPR036288
b0118	IPR015929
b0118	IPR015932
b0119	IPR008249
b0120	IPR003826
b0120	IPR009165
b0120	IPR016067
b0121	IPR030374
b0121	IPR030373
b0121	IPR029063
b0121	IPR001045
b0121	IPR035246
b0121	IPR037163
b0122	IPR019114
b0122	IPR038432
b0123	IPR001117
b0123	IPR011706
b0123	IPR011707
b0123	IPR002355
b0123	IPR008972
b0123	IPR006311
b0124	IPR018391
b0124	IPR017511
b0124	IPR002372
b0124	IPR011047
b0124	IPR001479
b0125	IPR005904
b0125	IPR000836
b0125	IPR029057
b0126	IPR001765
b0126	IPR015892
b0126	IPR036874
b0127	IPR003593
b0127	IPR003439
b0127	IPR017871
b0127	IPR027417
b0128	IPR013525
b0128	IPR000412
b0129	IPR004701
b0129	IPR036662
b0129	IPR033887
b0130	IPR011330
b0130	IPR002509
b0131	IPR009010
b0131	IPR003190
b0132	IPR010106
b0132	IPR006842
b0133	IPR004821
b0133	IPR003721
b0133	IPR042176
b0133	IPR014729
b0134	IPR003700
b0134	IPR015813
b0134	IPR040442
b0135	IPR000259
b0135	IPR036937
b0135	IPR008966
b0135	IPR017014
b0136	IPR000259
b0136	IPR036937
b0136	IPR008966
b0137	IPR000259
b0137	IPR036937
b0137	IPR008966
b0138	IPR000259
b0138	IPR036937
b0138	IPR008966
b0139	IPR000015
b0139	IPR018030
b0139	IPR042186
b0139	IPR025949
b0139	IPR043142
b0139	IPR025885
b0139	IPR037224
b0140	IPR013783
b0140	IPR008962
b0140	IPR036316
b0140	IPR001829
b0140	IPR016148
b0140	IPR018046
b0140	IPR016147
b0141	IPR000259
b0141	IPR036937
b0141	IPR008966
b0142	IPR000550
b0142	IPR035907
b0143	IPR043519
b0143	IPR002646
b0143	IPR010206
b0143	IPR025866
b0143	IPR032828
b0144	IPR022380
b0144	IPR000924
b0144	IPR020058
b0144	IPR014729
b0145	IPR012784
b0145	IPR037187
b0145	IPR020460
b0145	IPR000962
b0145	IPR020458
b0146	IPR005224
b0146	IPR040452
b0146	IPR041465
b0147	IPR009097
b0147	IPR014051
b0147	IPR004175
b0148	IPR011545
b0148	IPR007502
b0148	IPR014001
b0148	IPR001650
b0148	IPR010225
b0148	IPR027417
b0148	IPR013689
b0149	IPR012338
b0149	IPR001264
b0149	IPR023346
b0149	IPR032730
b0149	IPR011813
b0149	IPR036950
b0149	IPR001460
b0149	IPR028166
b0149	IPR012338
b0149	IPR001264
b0149	IPR023346
b0149	IPR011813
b0149	IPR036950
b0149	IPR001460
b0149	IPR028166
b0150	IPR012910
b0150	IPR037066
b0150	IPR039423
b0150	IPR000531
b0150	IPR010916
b0150	IPR036942
b0150	IPR010917
b0150	IPR010105
b0151	IPR003593
b0151	IPR003439
b0151	IPR017871
b0151	IPR027417
b0152	IPR002491
b0153	IPR037294
b0153	IPR000522
b0154	IPR004639
b0154	IPR005814
b0154	IPR015424
b0154	IPR015422
b0154	IPR015421
b0155	IPR023861
b0155	IPR014743
b0155	IPR001807
b0156	IPR000361
b0156	IPR016092
b0156	IPR017870
b0156	IPR023063
b0156	IPR035903
b0157	IPR005115
b0158	IPR002491
b0158	IPR023544
b0159	IPR010049
b0159	IPR000845
b0159	IPR035994
b0160	IPR023293
b0160	IPR006261
b0160	IPR020779
b0160	IPR003607
b0160	IPR006674
b0160	IPR026875
b0161	IPR001478
b0161	IPR036034
b0161	IPR011782
b0161	IPR009003
b0161	IPR001940
b0162	IPR041522
b0162	IPR008599
b0162	IPR025736
b0162	IPR042070
b0163	IPR020911
b0164	IPR004843
b0164	IPR029052
b0166	IPR005664
b0166	IPR001451
b0166	IPR018357
b0166	IPR023180
b0166	IPR037133
b0166	IPR011004
b0167	IPR002912
b0167	IPR003607
b0167	IPR006674
b0167	IPR043519
b0167	IPR013546
b0167	IPR002934
b0167	IPR010043
b0168	IPR036005
b0168	IPR000994
b0168	IPR001714
b0168	IPR002467
b0169	IPR001865
b0169	IPR005706
b0169	IPR018130
b0169	IPR023591
b0170	IPR036402
b0170	IPR001816
b0170	IPR014039
b0170	IPR018101
b0170	IPR009060
b0171	IPR036393
b0171	IPR001048
b0171	IPR011817
b0171	IPR015963
b0172	IPR002661
b0172	IPR023584
b0172	IPR036191
b0173	IPR003821
b0173	IPR013644
b0173	IPR013512
b0173	IPR026877
b0173	IPR036169
b0173	IPR036291
b0174	IPR001441
b0174	IPR018520
b0174	IPR036424
b0175	IPR000374
b0176	IPR001478
b0176	IPR041489
b0176	IPR036034
b0176	IPR004387
b0176	IPR008915
b0177	IPR000184
b0177	IPR010827
b0177	IPR039910
b0177	IPR023707
b0177	IPR034746
b0178	IPR005632
b0178	IPR024930
b0179	IPR001451
b0179	IPR018357
b0179	IPR007691
b0179	IPR011004
b0179	IPR020573
b0180	IPR013114
b0180	IPR010084
b0180	IPR029069
b0181	IPR029098
b0181	IPR037157
b0181	IPR001451
b0181	IPR018357
b0181	IPR010137
b0181	IPR011004
b0182	IPR003835
b0183	IPR022898
b0183	IPR001352
b0183	IPR024567
b0183	IPR012337
b0183	IPR036397
b0184	IPR011708
b0184	IPR041931
b0184	IPR040982
b0184	IPR029460
b0184	IPR004365
b0184	IPR004013
b0184	IPR003141
b0184	IPR016195
b0184	IPR004805
b0185	IPR001095
b0185	IPR029045
b0185	IPR011763
b0186	IPR005308
b0186	IPR011193
b0186	IPR000310
b0186	IPR008286
b0186	IPR036633
b0186	IPR015424
b0186	IPR015422
b0186	IPR015421
b0187	IPR029068
b0187	IPR004360
b0187	IPR037523
b0187	IPR037478
b0188	IPR012796
b0188	IPR014729
b0188	IPR011063
b0188	IPR012094
b0188	IPR012795
b0188	IPR015262
b0189	IPR009778
b0189	IPR038626
b0189	IPR023534
b0190	IPR011335
b0190	IPR009822
b0190	IPR038590
b0191	IPR000352
b0192	IPR007298
b0192	IPR033450
b0192	IPR038139
b0192	IPR043176
b0193	IPR038765
b0193	IPR024453
b0194	IPR002314
b0194	IPR006195
b0194	IPR004154
b0194	IPR036621
b0194	IPR002316
b0194	IPR004500
b0194	IPR023717
b0194	IPR044140
b0194	IPR033730
b0194	IPR036754
b0194	IPR007214
b0195	IPR023370
b0195	IPR041369
b0195	IPR023368
b0195	IPR040372
b0195	IPR036413
b0195	IPR036414
b0196	IPR030852
b0197	IPR004872
b0198	IPR000515
b0198	IPR035906
b0199	IPR003593
b0199	IPR026253
b0199	IPR012692
b0199	IPR003439
b0199	IPR017871
b0199	IPR017908
b0199	IPR041701
b0199	IPR018449
b0199	IPR027417
b0200	IPR036412
b0200	IPR006549
b0200	IPR023214
b0200	IPR004446
b0200	IPR006543
b0207	IPR020471
b0207	IPR018170
b0207	IPR023210
b0207	IPR036812
b0208	IPR005119
b0208	IPR000847
b0208	IPR036388
b0208	IPR036390
b0209	IPR036691
b0209	IPR005135
b0209	IPR022958
b0210	IPR013216
b0210	IPR029063
b0211	IPR018392
b0211	IPR036779
b0211	IPR023346
b0211	IPR000189
b0211	IPR008258
b0212	IPR035680
b0212	IPR032282
b0212	IPR017782
b0212	IPR001279
b0212	IPR036866
b0213	IPR026669
b0213	IPR013216
b0213	IPR029063
b0214	IPR012337
b0214	IPR002156
b0214	IPR036397
b0214	IPR022892
b0215	IPR006054
b0215	IPR006309
b0215	IPR013520
b0215	IPR012337
b0215	IPR036397
b0219	IPR003010
b0219	IPR036526
b0219	IPR001110
b0220	IPR036501
b0220	IPR014453
b0221	IPR006091
b0221	IPR036250
b0221	IPR009075
b0221	IPR013786
b0221	IPR037069
b0221	IPR009100
b0221	IPR015396
b0222	IPR035461
b0222	IPR004515
b0222	IPR001347
b0223	IPR017932
b0223	IPR029055
b0223	IPR026869
b0224	IPR005490
b0224	IPR038063
b0225	IPR007712
b0225	IPR035093
b0225	IPR004386
b0226	IPR013321
b0226	IPR026262
b0226	IPR007337
b0227	IPR000064
b0227	IPR038765
b0228	IPR002686
b0228	IPR036515
b0229	IPR042194
b0229	IPR042193
b0229	IPR042196
b0229	IPR025505
b0229	IPR001712
b0230	IPR006665
b0230	IPR036737
b0231	IPR043502
b0231	IPR036775
b0231	IPR017961
b0231	IPR022880
b0231	IPR024728
b0231	IPR043128
b0231	IPR001126
b0232	IPR036165
b0233	IPR020353
b0234	IPR016181
b0234	IPR000182
b0235	IPR036025
b0236	IPR000352
b0236	IPR017509
b0237	IPR002933
b0237	IPR011650
b0237	IPR001160
b0238	IPR000836
b0238	IPR029057
b0238	IPR023747
b0239	IPR029058
b0239	IPR043423
b0239	IPR010520
b0240	IPR009986
b0240	IPR038208
b0241	IPR033900
b0241	IPR023614
b0241	IPR001897
b0241	IPR001702
b0241	IPR013793
b0242	IPR036393
b0242	IPR001048
b0242	IPR041739
b0242	IPR001057
b0242	IPR011529
b0242	IPR005715
b0242	IPR019797
b0242	IPR002478
b0242	IPR015947
b0242	IPR036974
b0243	IPR016161
b0243	IPR016163
b0243	IPR016162
b0243	IPR015590
b0243	IPR020593
b0243	IPR012134
b0243	IPR000965
b0245	IPR009610
b0246	IPR009320
b0246	IPR038025
b0247	IPR037518
b0247	IPR025657
b0247	IPR001405
b0247	IPR020891
b0248	IPR004914
b0248	IPR042297
b0249	IPR009253
b0249	IPR038612
b0252	IPR026325
b0253	IPR006073
b0253	IPR027417
b0254	IPR005119
b0254	IPR000847
b0254	IPR036388
b0254	IPR036390
b0255	IPR009057
b0255	IPR002514
b0256	IPR001584
b0256	IPR025246
b0256	IPR012337
b0256	IPR036397
b0256	IPR001598
b0258	IPR043502
b0258	IPR000477
b0259	IPR002559
b0259	IPR008490
b0260	IPR004841
b0260	IPR004840
b0261	IPR017226
b0261	IPR003726
b0261	IPR036589
b0262	IPR003593
b0262	IPR003439
b0262	IPR017871
b0262	IPR015853
b0262	IPR030287
b0262	IPR008995
b0262	IPR027417
b0262	IPR013611
b0263	IPR000515
b0263	IPR035906
b0264	IPR005063
b0265	IPR024431
b0265	IPR003220
b0266	IPR009320
b0266	IPR038025
b0267	IPR009057
b0267	IPR001584
b0267	IPR012337
b0267	IPR036397
b0268	IPR013785
b0268	IPR002220
b0268	IPR020625
b0268	IPR020624
b0269	IPR017798
b0269	IPR042096
b0269	IPR000581
b0269	IPR020558
b0269	IPR037237
b0270	IPR039672
b0270	IPR036259
b0270	IPR001927
b0270	IPR018043
b0271	IPR013320
b0271	IPR041542
b0271	IPR006710
b0271	IPR023296
b0272	IPR029016
b0272	IPR014757
b0272	IPR005471
b0272	IPR036388
b0272	IPR036390
b0273	IPR006132
b0273	IPR006130
b0273	IPR036901
b0273	IPR006131
b0273	IPR002292
b0273	IPR024904
b0274	IPR005063
b0275	IPR024431
b0275	IPR003220
b0278	IPR036162
b0278	IPR011517
b0278	IPR036388
b0279	IPR016513
b0281	IPR044068
b0281	IPR011010
b0281	IPR013762
b0281	IPR002104
b0281	IPR038488
b0281	IPR025166
b0281	IPR010998
b0283	IPR003777
b0283	IPR027051
b0284	IPR000674
b0284	IPR036856
b0284	IPR008274
b0284	IPR037165
b0285	IPR005107
b0285	IPR036683
b0285	IPR016166
b0285	IPR036318
b0285	IPR016169
b0285	IPR002346
b0286	IPR002888
b0286	IPR036884
b0286	IPR036010
b0286	IPR001041
b0286	IPR006058
b0286	IPR012675
b0286	IPR006311
b0287	IPR009898
b0288	IPR005358
b0289	IPR013783
b0289	IPR008962
b0291	IPR008969
b0291	IPR031917
b0291	IPR032636
b0292	IPR040695
b0292	IPR013783
b0292	IPR008962
b0293	IPR016514
b0293	IPR038478
b0294	IPR016032
b0294	IPR000792
b0294	IPR036388
b0296	IPR034704
b0296	IPR002150
b0296	IPR027493
b0296	IPR042105
b0297	IPR024519
b0297	IPR038177
b0297	IPR003535
b0298	IPR009057
b0298	IPR002514
b0299	IPR025948
b0299	IPR038965
b0299	IPR001584
b0299	IPR012337
b0299	IPR036397
b0300	IPR009057
b0300	IPR018060
b0300	IPR011256
b0300	IPR020449
b0301	IPR016865
b0301	IPR007339
b0303	IPR025543
b0303	IPR010854
b0303	IPR036275
b0304	IPR036188
b0304	IPR023753
b0304	IPR016156
b0304	IPR001100
b0304	IPR004099
b0304	IPR012999
b0305	IPR032783
b0305	IPR009057
b0305	IPR018060
b0305	IPR011051
b0305	IPR020449
b0306	IPR004017
b0307	IPR004452
b0307	IPR024569
b0307	IPR017896
b0307	IPR017900
b0307	IPR024185
b0307	IPR009051
b0307	IPR003741
b0307	IPR037171
b0308	IPR024185
b0308	IPR003741
b0308	IPR037171
b0311	IPR011533
b0311	IPR036188
b0311	IPR027424
b0311	IPR012132
b0311	IPR000172
b0311	IPR007867
b0312	IPR016161
b0312	IPR016163
b0312	IPR016160
b0312	IPR029510
b0312	IPR016162
b0312	IPR015590
b0312	IPR011264
b0313	IPR039538
b0313	IPR023772
b0313	IPR009057
b0313	IPR001647
b0313	IPR036271
b0313	IPR017757
b0314	IPR018093
b0314	IPR000060
b0315	IPR001633
b0315	IPR035919
b0315	IPR016032
b0315	IPR000792
b0315	IPR036388
b0316	IPR005119
b0316	IPR000847
b0316	IPR036388
b0316	IPR036390
b0317	IPR009476
b0318	IPR002110
b0318	IPR020683
b0318	IPR036770
b0319	IPR021530
b0320	IPR003781
b0320	IPR005811
b0320	IPR016102
b0321	IPR009499
b0321	IPR024033
b0323	IPR036393
b0323	IPR001048
b0323	IPR003964
b0324	IPR013108
b0324	IPR011059
b0324	IPR032466
b0324	IPR006311
b0325	IPR013149
b0325	IPR013154
b0325	IPR002328
b0325	IPR029752
b0325	IPR011032
b0325	IPR036291
b0325	IPR020843
b0328	IPR004778
b0328	IPR001123
b0329	IPR025543
b0329	IPR010854
b0329	IPR036275
b0330	IPR003593
b0330	IPR009057
b0330	IPR002197
b0330	IPR027417
b0330	IPR012704
b0330	IPR010524
b0330	IPR002078
b0330	IPR025943
b0330	IPR025944
b0331	IPR039556
b0331	IPR018523
b0331	IPR012695
b0331	IPR015813
b0331	IPR040442
b0333	IPR011278
b0333	IPR016142
b0333	IPR016143
b0333	IPR002020
b0333	IPR019810
b0333	IPR024176
b0333	IPR036969
b0334	IPR012705
b0334	IPR036148
b0334	IPR042183
b0334	IPR042188
b0334	IPR005656
b0335	IPR032387
b0335	IPR025110
b0335	IPR020845
b0335	IPR000873
b0335	IPR042099
b0335	IPR012694
b0336	IPR030191
b0336	IPR001248
b0336	IPR038271
b0337	IPR013108
b0337	IPR011059
b0337	IPR032466
b0338	IPR037403
b0338	IPR005119
b0338	IPR000847
b0338	IPR036388
b0338	IPR036390
b0339	IPR001765
b0339	IPR015892
b0339	IPR036874
b0340	IPR008076
b0340	IPR003712
b0340	IPR036581
b0340	IPR010982
b0341	IPR004747
b0341	IPR011701
b0341	IPR020846
b0341	IPR036259
b0342	IPR001451
b0342	IPR018357
b0342	IPR039369
b0342	IPR024688
b0342	IPR011004
b0343	IPR000576
b0343	IPR018457
b0343	IPR020846
b0343	IPR036259
b0344	IPR004199
b0344	IPR036156
b0344	IPR011013
b0344	IPR008979
b0344	IPR014718
b0344	IPR006101
b0344	IPR023232
b0344	IPR023933
b0344	IPR006103
b0344	IPR023230
b0344	IPR006102
b0344	IPR006104
b0344	IPR017853
b0344	IPR013783
b0344	IPR032312
b0345	IPR000843
b0345	IPR010982
b0345	IPR028082
b0346	IPR029016
b0346	IPR014757
b0346	IPR005471
b0346	IPR036388
b0346	IPR036390
b0347	IPR023786
b0347	IPR002938
b0347	IPR036188
b0348	IPR023789
b0348	IPR004183
b0349	IPR029058
b0349	IPR000073
b0349	IPR000639
b0349	IPR023791
b0350	IPR011234
b0350	IPR036663
b0350	IPR023793
b0351	IPR003361
b0351	IPR015426
b0351	IPR036291
b0351	IPR000534
b0352	IPR017629
b0352	IPR013785
b0352	IPR012425
b0352	IPR035685
b0352	IPR000891
b0353	IPR011701
b0353	IPR020846
b0353	IPR036259
b0353	IPR005829
b0354	IPR018636
b0355	IPR029058
b0355	IPR000801
b0355	IPR014186
b0356	IPR014183
b0356	IPR013149
b0356	IPR013154
b0356	IPR002328
b0356	IPR011032
b0356	IPR036291
b0356	IPR020843
b0357	IPR003735
b0357	IPR038390
b0358	IPR030887
b0358	IPR016504
b0360	IPR009057
b0360	IPR002514
b0361	IPR025948
b0361	IPR001584
b0361	IPR012337
b0361	IPR036397
b0363	IPR001173
b0363	IPR029044
b0364	IPR003737
b0364	IPR024078
b0365	IPR007210
b0365	IPR010068
b0365	IPR001638
b0366	IPR003593
b0366	IPR003439
b0366	IPR017871
b0366	IPR015859
b0366	IPR027417
b0367	IPR000515
b0367	IPR035906
b0368	IPR042098
b0368	IPR003819
b0369	IPR001731
b0369	IPR030656
b0369	IPR013785
b0372	IPR025948
b0372	IPR038965
b0372	IPR001584
b0372	IPR012337
b0372	IPR036397
b0373	IPR009057
b0373	IPR002514
b0375	IPR018490
b0375	IPR041687
b0375	IPR034719
b0376	IPR001466
b0376	IPR012338
b0377	IPR036640
b0377	IPR009248
b0378	IPR011673
b0379	IPR020513
b0380	IPR020490
b0381	IPR011761
b0381	IPR013815
b0381	IPR000291
b0381	IPR005905
b0381	IPR011095
b0381	IPR011127
b0381	IPR016185
b0382	IPR019732
b0383	IPR001952
b0383	IPR018299
b0383	IPR017850
b0384	IPR011690
b0385	IPR000160
b0385	IPR007894
b0385	IPR029787
b0385	IPR043128
b0386	IPR008927
b0386	IPR036291
b0386	IPR028939
b0386	IPR029036
b0386	IPR000304
b0387	IPR003791
b0388	IPR027417
b0388	IPR031322
b0388	IPR000623
b0388	IPR027544
b0388	IPR023000
b0389	IPR032303
b0389	IPR038462
b0390	IPR010843
b0391	IPR009664
b0391	IPR014710
b0391	IPR011051
b0392	IPR024497
b0393	IPR007476
b0394	IPR043129
b0394	IPR000600
b0396	IPR011701
b0396	IPR020846
b0396	IPR036259
b0397	IPR027417
b0397	IPR038729
b0397	IPR004592
b0398	IPR004843
b0398	IPR029052
b0398	IPR041796
b0398	IPR004593
b0398	IPR026843
b0399	IPR011006
b0399	IPR001867
b0399	IPR011879
b0399	IPR001789
b0399	IPR039420
b0399	IPR036388
b0400	IPR003594
b0400	IPR036890
b0400	IPR005467
b0400	IPR003661
b0400	IPR036097
b0400	IPR000014
b0400	IPR035965
b0400	IPR013767
b0400	IPR021766
b0400	IPR004358
b0400	IPR014310
b0401	IPR004685
b0402	IPR004841
b0402	IPR004840
b0403	IPR006047
b0403	IPR004185
b0403	IPR013780
b0403	IPR017853
b0403	IPR014756
b0403	IPR017069
b0404	IPR007431
b0404	IPR023491
b0405	IPR003699
b0405	IPR042118
