bnumber,keyword
b0075,Reference proteome
b0076,3D-structure
b0076,Activator
b0076,DNA-binding
b0076,Reference proteome
b0076,Repressor
b0076,Transcription
b0076,Transcription regulation
b0077,Amino-acid biosynthesis
b0077,Branched-chain amino acid biosynthesis
b0077,Direct protein sequencing
b0077,FAD
b0077,Flavoprotein
b0077,Magnesium
b0077,Metal-binding
b0077,Reference proteome
b0077,Thiamine pyrophosphate
b0077,Transferase
b0078,3D-structure
b0078,Amino-acid biosynthesis
b0078,Branched-chain amino acid biosynthesis
b0078,Reference proteome
b0078,Transferase
b0079,Reference proteome
b0080,3D-structure
b0080,Activator
b0080,DNA-binding
b0080,Reference proteome
b0080,Repressor
b0080,Transcription
b0080,Transcription regulation
b0081,Cytoplasm
b0081,DNA-binding
b0081,Reference proteome
b0081,Repeat
b0081,Repressor
b0081,Transcription
b0081,Transcription regulation
b0082,3D-structure
b0082,Cytoplasm
b0082,Direct protein sequencing
b0082,Methyltransferase
b0082,Reference proteome
b0082,S-adenosyl-L-methionine
b0082,Transferase
b0082,rRNA processing
b0083,Cell cycle
b0083,Cell division
b0083,Cell inner membrane
b0083,Cell membrane
b0083,Coiled coil
b0083,Membrane
b0083,Reference proteome
b0083,Transmembrane
b0083,Transmembrane helix
b0084,3D-structure
b0084,Carboxypeptidase
b0084,Cell cycle
b0084,Cell division
b0084,Cell inner membrane
b0084,Cell membrane
b0084,Cell shape
b0084,Cell wall biogenesis/degradation
b0084,Hydrolase
b0084,Membrane
b0084,Peptidoglycan synthesis
b0084,Protease
b0084,Reference proteome
b0084,Septation
b0084,Transmembrane
b0084,Transmembrane helix
b0085,3D-structure
b0085,ATP-binding
b0085,Cell cycle
b0085,Cell division
b0085,Cell shape
b0085,Cell wall biogenesis/degradation
b0085,Cytoplasm
b0085,Direct protein sequencing
b0085,Ligase
b0085,Magnesium
b0085,Nucleotide-binding
b0085,Peptidoglycan synthesis
b0085,Reference proteome
b0086,3D-structure
b0086,ATP-binding
b0086,Cell cycle
b0086,Cell division
b0086,Cell shape
b0086,Cell wall biogenesis/degradation
b0086,Cytoplasm
b0086,Direct protein sequencing
b0086,Ligase
b0086,Nucleotide-binding
b0086,Peptidoglycan synthesis
b0086,Reference proteome
b0087,Cell cycle
b0087,Cell division
b0087,Cell inner membrane
b0087,Cell membrane
b0087,Cell shape
b0087,Cell wall biogenesis/degradation
b0087,Magnesium
b0087,Membrane
b0087,Metal-binding
b0087,Peptidoglycan synthesis
b0087,Reference proteome
b0087,Transferase
b0087,Transmembrane
b0087,Transmembrane helix
b0088,3D-structure
b0088,ATP-binding
b0088,Cell cycle
b0088,Cell division
b0088,Cell shape
b0088,Cell wall biogenesis/degradation
b0088,Cytoplasm
b0088,Direct protein sequencing
b0088,Ligase
b0088,Nucleotide-binding
b0088,Peptidoglycan synthesis
b0088,Reference proteome
b0089,Cell cycle
b0089,Cell division
b0089,Cell inner membrane
b0089,Cell membrane
b0089,Cell shape
b0089,Cell wall biogenesis/degradation
b0089,Glycosyltransferase
b0089,Membrane
b0089,Peptidoglycan synthesis
b0089,Reference proteome
b0089,Transferase
b0089,Transmembrane
b0089,Transmembrane helix
b0090,3D-structure
b0090,Cell cycle
b0090,Cell division
b0090,Cell inner membrane
b0090,Cell membrane
b0090,Cell shape
b0090,Cell wall biogenesis/degradation
b0090,Direct protein sequencing
b0090,Glycosyltransferase
b0090,Membrane
b0090,Peptidoglycan synthesis
b0090,Reference proteome
b0090,Transferase
b0091,3D-structure
b0091,ATP-binding
b0091,Cell cycle
b0091,Cell division
b0091,Cell shape
b0091,Cell wall biogenesis/degradation
b0091,Cytoplasm
b0091,Direct protein sequencing
b0091,Ligase
b0091,Nucleotide-binding
b0091,Peptidoglycan synthesis
b0091,Reference proteome
b0092,3D-structure
b0092,ATP-binding
b0092,Cell shape
b0092,Cell wall biogenesis/degradation
b0092,Cytoplasm
b0092,Direct protein sequencing
b0092,Ligase
b0092,Magnesium
b0092,Manganese
b0092,Metal-binding
b0092,Nucleotide-binding
b0092,Peptidoglycan synthesis
b0092,Reference proteome
b0093,3D-structure
b0093,Cell cycle
b0093,Cell division
b0093,Cell inner membrane
b0093,Cell membrane
b0093,Membrane
b0093,Reference proteome
b0093,Transmembrane
b0093,Transmembrane helix
b0094,Cell cycle
b0094,Cell division
b0094,Cell inner membrane
b0094,Cell membrane
b0094,Membrane
b0094,Reference proteome
b0095,3D-structure
b0095,ADP-ribosylation
b0095,Cell cycle
b0095,Cell division
b0095,Cytoplasm
b0095,Direct protein sequencing
b0095,GTP-binding
b0095,Nucleotide-binding
b0095,Reference proteome
b0095,Septation
b0096,3D-structure
b0096,Direct protein sequencing
b0096,Hydrolase
b0096,Iron
b0096,Lipid A biosynthesis
b0096,Lipid biosynthesis
b0096,Lipid metabolism
b0096,Metal-binding
b0096,Reference proteome
b0096,Zinc
b0097,3D-structure
b0097,Cytoplasm
b0097,Periplasm
b0097,Reference proteome
b0097,Signal
b0098,3D-structure
b0098,ATP-binding
b0098,Cell inner membrane
b0098,Cell membrane
b0098,Cytoplasm
b0098,Direct protein sequencing
b0098,Membrane
b0098,Metal-binding
b0098,Nucleotide-binding
b0098,Protein transport
b0098,Reference proteome
b0098,Translocase
b0098,Translocation
b0098,Transport
b0098,Zinc
b0099,3D-structure
b0099,DNA damage
b0099,DNA repair
b0099,DNA replication
b0099,Direct protein sequencing
b0099,Hydrolase
b0099,Magnesium
b0099,Metal-binding
b0099,Mutator protein
b0099,Reference proteome
b0101,3D-structure
b0101,Metal-binding
b0101,Reference proteome
b0101,Zinc
b0102,3D-structure
b0102,Cell cycle
b0102,Cell division
b0102,Cytoplasm
b0102,Reference proteome
b0102,Septation
b0103,3D-structure
b0103,ATP-binding
b0103,Coenzyme A biosynthesis
b0103,Cytoplasm
b0103,Direct protein sequencing
b0103,Kinase
b0103,Nucleotide-binding
b0103,Reference proteome
b0103,Transferase
b0104,Direct protein sequencing
b0104,Metal-binding
b0104,NADP
b0104,Oxidoreductase
b0104,Potassium
b0104,Reference proteome
b0106,Cell inner membrane
b0106,Cell membrane
b0106,Membrane
b0106,Reference proteome
b0106,Transmembrane
b0106,Transmembrane helix
b0106,Transport
b0107,ATP-binding
b0107,Nucleotide-binding
b0107,Reference proteome
b0107,Transport
b0108,Fimbrium
b0108,Membrane
b0108,Methylation
b0108,Reference proteome
b0108,Transmembrane
b0108,Transmembrane helix
b0109,Glycosyltransferase
b0109,Pyridine nucleotide biosynthesis
b0109,Reference proteome
b0109,Transferase
b0110,Cell wall biogenesis/degradation
b0110,Cytoplasm
b0110,Hydrolase
b0110,Metal-binding
b0110,Reference proteome
b0110,Zinc
b0111,Cell inner membrane
b0111,Cell membrane
b0111,Membrane
b0111,Reference proteome
b0111,Transmembrane
b0111,Transmembrane helix
b0112,Amino-acid transport
b0112,Cell inner membrane
b0112,Cell membrane
b0112,Membrane
b0112,Reference proteome
b0112,Transmembrane
b0112,Transmembrane helix
b0112,Transport
b0113,3D-structure
b0113,DNA-binding
b0113,Reference proteome
b0113,Repressor
b0113,Transcription
b0113,Transcription regulation
b0114,3D-structure
b0114,Acetylation
b0114,Direct protein sequencing
b0114,Glycolysis
b0114,Magnesium
b0114,Metal-binding
b0114,Oxidoreductase
b0114,Pyruvate
b0114,Reference proteome
b0114,Thiamine pyrophosphate
b0115,3D-structure
b0115,Acetylation
b0115,Acyltransferase
b0115,Direct protein sequencing
b0115,Glycolysis
b0115,Lipoyl
b0115,Reference proteome
b0115,Repeat
b0115,Transferase
b0116,3D-structure
b0116,Acetylation
b0116,Cell inner membrane
b0116,Cell membrane
b0116,Cytoplasm
b0116,Direct protein sequencing
b0116,Disulfide bond
b0116,FAD
b0116,Flavoprotein
b0116,Glycolysis
b0116,Membrane
b0116,NAD
b0116,Oxidoreductase
b0116,Redox-active center
b0116,Reference proteome
b0117,Reference proteome
b0118,3D-structure
b0118,4Fe-4S
b0118,Direct protein sequencing
b0118,Iron
b0118,Iron-sulfur
b0118,Lyase
b0118,Metal-binding
b0118,RNA-binding
b0118,Reference proteome
b0118,Tricarboxylic acid cycle
b0119,Reference proteome
b0120,Allosteric enzyme
b0120,Autocatalytic cleavage
b0120,Decarboxylase
b0120,Direct protein sequencing
b0120,Lyase
b0120,Magnesium
b0120,Polyamine biosynthesis
b0120,Pyruvate
b0120,Reference proteome
b0120,S-adenosyl-L-methionine
b0120,Schiff base
b0120,Spermidine biosynthesis
b0120,Zymogen
b0121,3D-structure
b0121,Cytoplasm
b0121,Direct protein sequencing
b0121,Polyamine biosynthesis
b0121,Reference proteome
b0121,Spermidine biosynthesis
b0121,Transferase
b0122,Reference proteome
b0122,Signal
b0123,3D-structure
b0123,Copper
b0123,Direct protein sequencing
b0123,Metal-binding
b0123,Oxidoreductase
b0123,Periplasm
b0123,Reference proteome
b0123,Repeat
b0123,Signal
b0124,Cell inner membrane
b0124,Cell membrane
b0124,Membrane
b0124,Oxidoreductase
b0124,PQQ
b0124,Reference proteome
b0124,Transmembrane
b0124,Transmembrane helix
b0125,3D-structure
b0125,Cytoplasm
b0125,Glycosyltransferase
b0125,Magnesium
b0125,Metal-binding
b0125,Nucleotide-binding
b0125,Purine salvage
b0125,Reference proteome
b0125,Transferase
b0126,3D-structure
b0126,Lyase
b0126,Metal-binding
b0126,Reference proteome
b0126,Zinc
b0127,ATP-binding
b0127,Nucleotide-binding
b0127,Reference proteome
b0127,Transport
b0128,Cell inner membrane
b0128,Cell membrane
b0128,Membrane
b0128,Reference proteome
b0128,Transmembrane
b0128,Transmembrane helix
b0128,Transport
b0129,Cytoplasm
b0129,Kinase
b0129,Phosphotransferase system
b0129,Reference proteome
b0129,Sugar transport
b0129,Transferase
b0129,Transport
b0130,Reference proteome
b0130,Signal
b0131,3D-structure
b0131,Autocatalytic cleavage
b0131,Cytoplasm
b0131,Decarboxylase
b0131,Direct protein sequencing
b0131,Lyase
b0131,Pantothenate biosynthesis
b0131,Pyruvate
b0131,Reference proteome
b0131,Schiff base
b0131,Zymogen
b0132,DNA recombination
b0132,Endonuclease
b0132,Hydrolase
b0132,Magnesium
b0132,Nuclease
b0132,Reference proteome
b0133,3D-structure
b0133,ATP-binding
b0133,Cytoplasm
b0133,Ligase
b0133,Nucleotide-binding
b0133,Pantothenate biosynthesis
b0133,Reference proteome
b0134,3D-structure
b0134,Cytoplasm
b0134,Direct protein sequencing
b0134,Magnesium
b0134,Metal-binding
b0134,Pantothenate biosynthesis
b0134,Reference proteome
b0134,Transferase
b0135,Fimbrium
b0135,Reference proteome
b0135,Signal
b0136,Fimbrium
b0136,Reference proteome
b0136,Signal
b0137,Fimbrium
b0137,Reference proteome
b0137,Signal
b0138,Fimbrium
b0138,Reference proteome
b0138,Signal
b0139,Cell outer membrane
b0139,Direct protein sequencing
b0139,Disulfide bond
b0139,Fimbrium biogenesis
b0139,Membrane
b0139,Reference proteome
b0139,Signal
b0139,Stress response
b0139,Transmembrane
b0139,Transmembrane beta strand
b0139,Transport
b0140,3D-structure
b0140,Chaperone
b0140,Fimbrium biogenesis
b0140,Immunoglobulin domain
b0140,Periplasm
b0140,Reference proteome
b0140,Signal
b0140,Stress response
b0141,Disulfide bond
b0141,Fimbrium
b0141,Reference proteome
b0141,Signal
b0142,3D-structure
b0142,ATP-binding
b0142,Direct protein sequencing
b0142,Folate biosynthesis
b0142,Kinase
b0142,Nucleotide-binding
b0142,Reference proteome
b0142,Transferase
b0143,ATP-binding
b0143,Cell inner membrane
b0143,Cell membrane
b0143,Cytoplasm
b0143,Direct protein sequencing
b0143,Membrane
b0143,Nucleotide-binding
b0143,Plasmid copy control
b0143,RNA-binding
b0143,Reference proteome
b0143,Transcription
b0143,Transferase
b0143,mRNA processing
b0144,3D-structure
b0144,ATP-binding
b0144,Aminoacyl-tRNA synthetase
b0144,Ligase
b0144,Metal-binding
b0144,Nucleotide-binding
b0144,Reference proteome
b0144,Zinc
b0145,3D-structure
b0145,Coiled coil
b0145,Cytoplasm
b0145,Direct protein sequencing
b0145,Metal-binding
b0145,Reference proteome
b0145,Zinc
b0145,Zinc-finger
b0146,3D-structure
b0146,DNA-binding
b0146,Reference proteome
b0147,3D-structure
b0147,Direct protein sequencing
b0147,Hydrolase
b0147,Reference proteome
b0148,3D-structure
b0148,ATP-binding
b0148,Helicase
b0148,Hydrolase
b0148,Nucleotide-binding
b0148,Reference proteome
b0149,3D-structure
b0149,Alternative initiation
b0149,Antibiotic resistance
b0149,Carboxypeptidase
b0149,Cell inner membrane
b0149,Cell membrane
b0149,Cell shape
b0149,Cell wall biogenesis/degradation
b0149,Direct protein sequencing
b0149,Glycosyltransferase
b0149,Hydrolase
b0149,Membrane
b0149,Multifunctional enzyme
b0149,Peptidoglycan synthesis
b0149,Protease
b0149,Reference proteome
b0149,Signal-anchor
b0149,Transferase
b0149,Transmembrane
b0149,Transmembrane helix
b0150,3D-structure
b0150,Cell outer membrane
b0150,Direct protein sequencing
b0150,Disulfide bond
b0150,Ion transport
b0150,Iron
b0150,Iron transport
b0150,Membrane
b0150,Receptor
b0150,Reference proteome
b0150,Signal
b0150,TonB box
b0150,Transmembrane
b0150,Transmembrane beta strand
b0150,Transport
b0151,ATP-binding
b0151,Cell inner membrane
b0151,Cell membrane
b0151,Ion transport
b0151,Iron
b0151,Iron transport
b0151,Membrane
b0151,Nucleotide-binding
b0151,Reference proteome
b0151,Translocase
b0151,Transport
b0152,3D-structure
b0152,Direct protein sequencing
b0152,Ion transport
b0152,Iron
b0152,Iron transport
b0152,Periplasm
b0152,Reference proteome
b0152,Signal
b0152,Transport
b0153,Cell inner membrane
b0153,Cell membrane
b0153,Ion transport
b0153,Iron
b0153,Iron transport
b0153,Membrane
b0153,Reference proteome
b0153,Transmembrane
b0153,Transmembrane helix
b0153,Transport
b0154,Cytoplasm
b0154,Isomerase
b0154,Porphyrin biosynthesis
b0154,Pyridoxal phosphate
b0154,Reference proteome
b0155,3D-structure
b0155,Antiport
b0155,Cell inner membrane
b0155,Cell membrane
b0155,Chloride
b0155,Ion transport
b0155,Membrane
b0155,Reference proteome
b0155,Stress response
b0155,Transmembrane
b0155,Transmembrane helix
b0155,Transport
b0156,Iron
b0156,Iron-sulfur
b0156,Metal-binding
b0156,Reference proteome
b0157,Cell inner membrane
b0157,Cell membrane
b0157,Membrane
b0157,Reference proteome
b0157,Transmembrane
b0157,Transmembrane helix
b0158,3D-structure
b0158,Direct protein sequencing
b0158,Disulfide bond
b0158,Periplasm
b0158,Reference proteome
b0158,Signal
b0158,Transport
b0159,3D-structure
b0159,Amino-acid biosynthesis
b0159,Hydrolase
b0159,Methionine biosynthesis
b0159,Reference proteome
b0160,3D-structure
b0160,Direct protein sequencing
b0160,Hydrolase
b0160,Magnesium
b0160,Reference proteome
b0161,3D-structure
b0161,Cell inner membrane
b0161,Cell membrane
b0161,Direct protein sequencing
b0161,Disulfide bond
b0161,Hydrolase
b0161,Membrane
b0161,Protease
b0161,Reference proteome
b0161,Repeat
b0161,Serine protease
b0161,Signal
b0161,Stress response
b0162,Reference proteome
b0162,Transcription
b0162,Transcription regulation
b0163,Reference proteome
b0164,Hydrolase
b0164,Metal-binding
b0164,Reference proteome
b0166,Acyltransferase
b0166,Amino-acid biosynthesis
b0166,Cytoplasm
b0166,Diaminopimelate biosynthesis
b0166,Direct protein sequencing
b0166,Lysine biosynthesis
b0166,Reference proteome
b0166,Repeat
b0166,Transferase
b0167,Hydrolase
b0167,Magnesium
b0167,Multifunctional enzyme
b0167,Nucleotidyltransferase
b0167,Reference proteome
b0167,Repeat
b0167,Transferase
b0168,3D-structure
b0168,Aminopeptidase
b0168,Direct protein sequencing
b0168,Hydrolase
b0168,Metal-binding
b0168,Protease
b0168,Reference proteome
b0169,3D-structure
b0169,Direct protein sequencing
b0169,Reference proteome
b0169,Ribonucleoprotein
b0169,Ribosomal protein
b0170,3D-structure
b0170,Cytoplasm
b0170,Direct protein sequencing
b0170,Elongation factor
b0170,Protein biosynthesis
b0170,Reference proteome
b0171,3D-structure
b0171,ATP-binding
b0171,Allosteric enzyme
b0171,Cytoplasm
b0171,Direct protein sequencing
b0171,Kinase
b0171,Nucleotide-binding
b0171,Pyrimidine biosynthesis
b0171,Reference proteome
b0171,Transferase
b0172,3D-structure
b0172,Acetylation
