bnumber	rank	strand	begin	end
b0087	88	+	96001	97084
b0088	89	+	97086	98403
b0089	90	+	98402	99647
b0090	91	+	99643	100711
b0091	92	+	100764	102240
b0092	93	+	102232	103153
b0093	94	+	103154	103985
b0094	95	+	103981	105244
b0095	96	+	105304	106456
b0096	97	+	106556	107474
b0097	98	+	107704	108217
b0098	99	+	108278	110984
b0099	100	+	111043	111433
b0101	101	-	111648	111846
b0102	102	-	111855	112599
b0103	103	-	112598	113219
b4727	104	+	113243	113288
b0104	105	+	113443	114487
b0106	106	-	114521	115724
b0107	107	-	115713	117099
b0108	108	-	117108	117549
b0109	109	-	117751	118645
b0110	110	+	118732	119284
b0111	111	+	119280	120135
b0112	112	-	120177	121551
b0113	113	+	122091	122856
b0114	114	+	123016	125680
b0115	115	+	125694	127587
b0116	116	+	127911	129336
b0117	117	-	129406	131260
b0118	118	+	131614	134212
b0119	119	+	134387	134750
b0120	120	-	134787	135582
b0121	121	-	135597	136464
b0122	122	-	136569	136917
b0123	123	+	137082	138633
b0124	124	-	138834	141225
b0125	125	+	141430	141967
b0126	126	-	142007	142670
b0127	127	+	142778	143705
b0128	128	+	143701	144472
b0129	129	+	144576	145017
b0130	130	+	145080	146310
b0131	131	-	146313	146694
b0132	132	+	146967	147870
b0133	133	-	147943	148795
b0134	134	-	148806	149601
b0135	135	-	149714	150953
b0136	136	-	151002	151599
b0137	137	-	151625	152231
b0138	138	-	152242	152812
b0139	139	-	152828	155426
b0140	140	-	155460	156201
b0141	141	-	156298	156883
b0142	142	-	157252	157732
b0143	143	-	157728	159126
b0144	144	-	159185	160112
b0145	145	-	160148	160604
b0146	146	-	160781	161486
b0147	147	-	161500	162031
b0148	148	+	162104	164534
b0149	149	+	164729	167264
b0149	150	+	164864	167264
b0150	151	+	167483	169727
b0151	152	+	169777	170575
b0152	153	+	170574	171465
b0153	154	+	171461	173444
b0154	155	-	173601	174882
b4765	156	+	175047	175095
b0155	157	+	175106	176528
b4728	158	+	176551	176617
b0156	159	+	176609	176954
b0157	160	-	177000	177624
b0158	161	-	177661	178462
b0159	162	-	178454	179153
b0160	163	+	179236	180754
b0161	164	+	180883	182308
b0162	165	+	182462	183620
b0163	166	-	183708	184095
b0164	167	-	184256	185069
b0166	168	-	185122	185947
b0167	169	-	185977	188650
b0168	170	-	188711	189506
b0169	171	+	189873	190599
b0170	172	+	190856	191708
b0171	173	+	191854	192580
b0172	174	+	192871	193429
b0173	175	+	193520	194717
b0174	176	+	194902	195664
b0175	177	+	195676	196534
b0176	178	+	196545	197898
b0177	179	+	197927	200360
b0178	180	+	200481	200967
b0179	181	+	200970	201996
b0180	182	+	202100	202556
b0181	183	+	202559	203348
b0182	184	+	203347	204496
b0183	185	+	204492	205089
b0184	186	+	205125	208608
b0185	187	+	208620	209580
b0186	188	+	209678	211820
b0187	189	+	211876	212266
b0188	190	+	212330	213629
b0189	191	-	213677	213932
b4406	192	-	213924	214125
b0190	193	+	214290	214836
b0191	194	+	214832	215255
b0192	195	+	215268	215979
b0193	196	-	216178	217003
b0194	197	-	217056	218775
b0195	198	-	218886	219594
b0196	199	-	219590	219995
b0197	200	-	220112	220928
b0198	201	-	220967	221621
b0199	202	-	221613	222645
b0200	203	+	222832	223408
b0207	204	+	229166	229970
b0208	205	-	229966	230881
b0209	206	+	231121	231922
b0210	207	+	231925	232549
b0211	208	-	232596	233955
b0212	209	-	234026	234782
b0213	210	+	234815	235538
b0214	211	-	235534	236002
b0215	212	+	236066	236798
b0217	213	+	237334	238120
b4586	214	-	238256	238736
b0219	215	-	239418	240189
b0220	216	+	240342	240816
b0221	217	-	240858	243303
b0222	218	+	243542	244121
b0223	219	+	244326	245094
b0224	220	-	245064	245805
b0225	221	-	245960	246239
b0226	222	-	246241	246502
b0227	223	+	246711	247461
b0228	224	+	247636	248134
b0231	225	+	250897	251953
b0232	226	+	252004	252298
b0233	227	+	252300	252699
b0234	228	+	252708	253161
b0237	229	-	254258	255716
b0238	230	+	255976	256435
b0239	231	+	256526	257771
b0240	232	+	257828	257899
b4710	233	-	257922	258426
b4709	234	-	258344	258620
b0241	235	-	259044	260100
b0242	236	+	260387	261491
b0243	237	+	261502	262756
b0245	238	-	263327	263669
b0246	239	-	263689	264007
b4504	240	-	264025	264247
b0247	241	-	264255	264732
b0248	242	-	264747	265206
b0249	243	-	265303	265543
b0250	244	-	265619	266087
b0251	245	-	266109	266553
b0252	246	-	267183	268005
b0253	247	-	268096	268960
b0254	248	-	269288	270182
b4587	249	+	270277	270540
b0256	250	+	270602	271754
b0258	251	+	272846	273992
b0259	252	-	274100	275081
b0260	253	+	275324	276728
b0261	254	+	276714	277647
b0262	255	-	277755	278802
b0264	256	-	279177	279681
b0265	257	-	279599	279875
b0266	258	-	280384	280735
b0267	259	-	280828	281983
b0268	260	+	282277	283186
b0269	261	+	283200	285168
b0270	262	+	285394	286777
b0271	263	+	286788	288399
b0272	264	-	288403	289162
b0273	265	-	289300	290305
b4766	266	-	290274	290370
b4688	267	+	290509	290638
b0274	268	-	290648	291152
b0275	269	-	291070	291346
b0276	270	+	291499	292231
b0277	271	-	292321	292948
b0278	272	-	293219	293918
b0279	273	-	293944	294799
b4729	274	-	294917	295142
b0280	275	-	295138	295579
b0281	276	-	295695	297096
b0282	277	-	297380	297791
b0283	278	-	297769	298726
b0284	279	-	298735	300934
b0285	280	-	300930	301887
b0286	281	-	301883	302573
b0287	282	+	302990	303605
b0288	283	-	303852	304182
b0289	284	-	304494	305205
b0290	285	-	305173	306817
b0291	286	-	306806	309332
b0292	287	-	309357	310026
b0293	288	-	310083	310671
b0294	289	-	310745	311336
b0295	290	+	312111	312339
b4506	291	-	312373	312514
b0296	292	-	312513	312777
b4671	293	-	313140	313242
b0298	294	+	315290	315590
b0299	295	+	315586	316453
b0301	296	-	317725	318319
b0303	297	-	318330	318567
b0304	298	-	318675	320001
b0305	299	+	320226	321081
b0306	300	+	321607	322327
b0307	301	+	322337	323765
b0308	302	+	323757	324453
b0310	303	-	324695	325364
b0311	304	-	325576	327247
b0312	305	-	327260	328733
b0313	306	-	328746	329334
b0314	307	+	329462	331496
b4730	308	+	331801	331876
b0315	309	+	332370	333459
b0316	310	-	333500	334433
b0317	311	-	334524	335022
b0318	312	+	335279	335885
b0319	313	+	335924	336788
b0320	314	+	336777	338325
b0321	315	+	338324	339743
b0322	316	+	339768	340089
b0323	317	+	340164	341115
b0324	318	+	341124	342507
b0325	319	+	342883	343933
b0326	320	+	344175	344991
b0327	321	+	345403	345649
b0328	322	-	345665	346337
b0329	323	+	346483	346759
b0330	324	-	346856	348443
b0331	325	+	348681	349572
b0333	326	+	350011	351181
b0334	327	+	351214	352666
b0335	328	+	352705	354592
b0336	329	+	354921	356181
b0337	330	+	356170	357454
b0338	331	-	357790	358690
b0339	332	+	358798	359458
b0340	333	+	359488	359959
b0341	334	+	359991	361146
b0342	335	-	361248	361860
b0343	336	-	361925	363179
b0344	337	-	363230	366305
b0345	338	-	366427	367510
b0346	339	-	367586	368420
b0347	340	+	368610	370275
b0348	341	+	370276	371221
b0349	342	+	371238	372105
b0350	343	+	372114	372924
b0351	344	+	372920	373871
b0352	345	+	373867	374881
b0353	346	+	375458	376670
b0354	347	+	376771	377311
b0355	348	-	377534	378368
b0356	349	-	378461	379571
b0357	350	-	379605	379881
b0358	351	-	380068	380842
b4579	352	-	382590	382872
b0360	353	+	381350	381716
b0361	354	+	381673	382579
b0363	355	-	382738	383935
b4731	356	+	383959	384079
b0364	357	-	384058	384616
b0365	358	+	385231	386194
b0366	359	+	386206	386974
b0367	360	+	386970	387798
b0368	361	+	387794	388646
b0369	362	-	388752	389727
b4580	363	+	390250	391708
b4767	364	-	391591	391648
b0372	365	-	391738	392605
b0373	366	-	392601	392901
b0375	367	+	394505	395129
b0376	368	-	395129	396287
b0377	369	+	396638	397859
b0378	370	+	397871	398966
b0379	371	-	399024	399333
b0380	372	+	399592	399805
b0381	373	-	399828	400923
b0382	374	+	401385	401646
b0383	375	+	401746	403162
b0384	376	+	403280	403601
b0385	377	+	403702	404818
b0386	378	-	404834	405644
b0387	379	+	405763	406222
b0388	380	+	406404	406929
b0389	381	+	406978	407170
b0390	382	+	407427	408105
b0391	383	+	408176	408461
b4732	384	+	408946	409030
b0393	385	-	409107	410019
b0394	386	+	410143	411052
b0396	387	-	411296	412481
b0397	388	-	412606	415753
b0398	389	-	415749	416952
b0399	390	+	417141	417831
b0400	391	+	417888	419184
b0401	392	+	419590	420910
b0402	393	+	420985	422359
b0403	394	+	422517	424332
b0404	395	-	424336	424918
b0405	396	+	425010	426081
b0406	397	+	426136	427264
b0407	398	+	427286	427619
b0408	399	+	427646	429494
b0409	400	+	429504	430476
b0410	401	+	430604	430952
b0411	402	-	431128	432013
b0412	403	-	432311	432851
b0413	404	+	433001	433451
b0414	405	+	433454	434558
b0415	406	+	434646	435117
b0416	407	+	435136	435556
b0417	408	+	435633	436611
b0418	409	+	436588	437107
b0419	410	-	437160	438135
b0420	411	-	438314	440177
b0421	412	-	440201	441101
b0422	413	-	441100	441343
b0423	414	+	441548	442997
b0424	415	-	443050	443641
b0425	416	-	443603	444515
b0426	417	+	444682	445174
b0427	418	-	445301	446666
b0428	419	-	446814	447705
b0429	420	-	447716	448046
b0430	421	-	448045	448660
b0431	422	-	448649	450641
b0432	423	-	450662	451610
b0433	424	-	452069	453545
b0434	425	-	453588	454167
b0435	426	+	454471	454789
b0436	427	+	455132	456431
b0437	428	+	456676	457300
b0438	429	+	457425	458700
b0439	430	+	458887	461242
b0440	431	+	461450	461723
b0441	432	+	461914	463786
b0442	433	+	463936	464308
b0443	434	+	464401	464800
b0444	435	-	464851	465547
b0445	436	-	465611	467312
b0446	437	+	467411	468230
b0447	438	+	468382	468841
b0448	439	+	468870	470643
b0449	440	+	470635	472417
b0450	441	+	472597	472936
b0451	442	+	472965	474252
b0452	443	-	474300	475161
b0453	444	+	475378	475951
b0454	445	-	475981	476371
b0456	446	+	476671	477025
b0457	447	-	477066	478617
b0458	448	-	478780	479251
b0459	449	-	479366	479918
b0460	450	-	480089	480308
b0461	451	-	480333	480708
b0462	452	-	481253	484403
b0463	453	-	484425	485619
b0464	454	+	485760	486408
b0465	455	+	486535	489898
b0466	456	-	490109	490271
b0467	457	-	490284	490812
b0468	458	+	490881	491259
b0469	459	+	491411	491963
b0470	460	+	492091	494023
b0470	461	+	492091	493375
b0471	462	+	494075	494405
b0472	463	+	494404	495010
b0473	464	+	495119	496994
b0474	465	+	497174	497819
b0475	466	+	498054	499017
b0476	467	-	499013	499973
b0477	468	+	500124	501429
b0478	469	-	501561	503238
b0479	470	-	503475	504696
b0480	471	+	504913	506566
b0481	472	-	506602	507082
b0482	473	-	507285	508080
b0483	474	+	508217	508559
b0484	475	-	508874	511379
b0484	476	-	511175	511379
b0485	477	+	511640	512573
b0486	478	+	512575	513868
b0487	479	+	513992	514400
b0488	480	-	514400	514859
b0489	481	-	514855	515773
b0490	482	+	515918	516596
b0491	483	+	516582	517362
b0492	484	-	517424	518279
b0493	485	-	518339	519149
b0494	486	-	519138	519765
b0495	487	+	519732	520419
b0496	488	+	520415	522830
b0497	489	+	523260	527541
b0498	490	+	527580	527949
b0502	491	-	529644	530016
b0503	492	-	530131	531226
b0504	493	-	531294	532221
b0505	494	+	532450	532933
b0506	495	+	533010	533826
b0507	496	+	533915	535697
b0508	497	+	535709	536486
b0509	498	+	536585	537464
b0511	499	+	537632	539087
b0512	500	+	539146	540508
b0513	501	+	540564	541866
b0514	502	+	541887	543033
b0515	503	-	543260	544046
b0516	504	-	544056	545292
b0517	505	-	545313	546363
b0518	506	+	546679	548347
b4572	507	+	548356	549616
b0520	508	+	549626	550442
b0521	509	+	550438	551332
b0522	510	-	551526	552594
b0523	511	-	552590	553100
b0524	512	-	553217	553940
b0525	513	-	553942	554437
b0526	514	+	554610	555996
b0527	515	-	556031	556553
b0528	516	-	556660	556873
b0529	517	-	556874	557741
b0530	518	+	558211	558754
b0531	519	+	558973	559666
b0532	520	+	559696	562300
b0533	521	+	562335	563319
b0534	522	+	563329	563845
b0535	523	-	563847	564480
b0537	524	-	564814	565978
b0542	525	+	566683	566776
b0540	526	+	566841	567141
b0541	527	+	567137	568004
b0543	528	+	568314	568647
b4733	529	+	568694	568844
b0544	530	+	568901	570428
b0545	531	+	570892	571444
b0546	532	+	571453	572251
b4588	533	+	572367	572469
b0547	534	+	572465	572921
b0548	535	+	572920	573091
b0549	536	+	573083	573374
b0550	537	+	573370	573733
b4509	538	+	573729	573870
b0551	539	+	573955	574339
b0553	540	-	575785	576825
b0552	541	-	574736	575717
b0554	542	+	577397	577613
b0555	543	+	577612	578110
b0556	544	+	578106	578568
b4510	545	+	578326	578509
b0557	546	-	578599	578893
b0558	547	-	579183	579594
b0559	548	+	579879	580086
b4589	549	-	580250	580445
b0560	550	+	580833	581379
b0561	551	+	581533	582097
b0563	552	+	582874	583060
b0564	553	+	583680	584430
b0565	554	-	584679	585633
b0566	555	-	586146	586908
b0567	556	-	587090	587981
b0568	557	-	587981	590954
b0569	558	-	590940	593178
b0570	559	-	593327	594770
b0571	560	-	594759	595443
b0572	561	+	595599	596973
b0573	562	+	597130	597463
b0574	563	+	597478	598702
b0575	564	+	598713	601857
b0576	565	+	601958	603335
b0577	566	-	603415	604663
b0578	567	-	604770	605424
b0579	568	-	605517	605886
b0580	569	-	605950	606199
b0581	570	-	606264	607383
b4415	571	+	607835	607988
b0582	572	+	608064	609177
b0583	573	-	609458	610079
b0584	574	-	610253	612494
b0585	575	+	612736	613939
b4511	576	+	613941	614160
b0586	577	+	614156	618038
b0587	578	+	618253	619387
b0588	579	-	619383	620199
b0589	580	-	620195	621188
b0590	581	-	621184	622189
b0591	582	+	622299	623550
b0592	583	-	623553	624510
b0593	584	+	624884	626060
b0594	585	+	626069	627680
b0595	586	+	627693	628551
b0596	587	+	628550	629297
b0597	588	+	629299	629713
b0598	589	+	629893	631999
b4512	590	+	632181	632379
b0599	591	-	632388	633477
b0600	592	+	633585	634746
b0601	593	-	634746	635376
b0602	594	-	635348	636569
b0603	595	-	636715	637618
b0604	596	-	637826	638573
b0605	597	+	638944	639508
b0606	598	+	639752	641318
b0607	599	-	641438	641867
b0608	600	+	642087	643326
b4734	601	-	643329	643419
b0610	602	-	643556	643967
b0611	603	-	644196	645003
b0612	604	-	645116	646580
b0613	605	-	646630	647509
b0614	606	-	647483	648035
b0615	607	-	648038	649571
b0616	608	-	649581	650490
b0617	609	-	650486	650783
b0618	610	-	650797	651856
b0619	611	+	652234	653893
b0620	612	+	653861	654542
b0621	613	-	654582	655968
b0622	614	+	656556	657117
b0623	615	+	657291	657501
b0624	616	-	657554	657938
b0627	617	+	658946	659150
b0628	618	-	659250	660216
b0629	619	-	660424	661378
b0630	620	-	661636	662278
b0631	621	-	662378	662642
b0632	622	-	662751	663963
b0633	623	-	664101	665190
b0634	624	-	665200	666313
b0635	625	-	666315	668217
b0636	626	-	668247	668715
b0637	627	-	668718	669036
b0638	628	-	669295	669907
b0639	629	-	669930	670572
b0640	630	-	670573	671605
b0641	631	-	671604	672186
b0642	632	-	672200	674783
b0643	633	+	675017	675500
b0644	634	-	675569	676547
b0645	635	+	676710	677418
b0646	636	+	677414	678842
b0647	637	-	678851	679406
b0648	638	+	679507	680215
b0649	639	+	680211	681663
b0650	640	-	681722	683393
b0651	641	-	683476	684412
b0652	642	-	684529	685255
b0653	643	-	685254	685929
b0654	644	-	685928	686669
b0655	645	-	686838	687747
b0656	646	-	687996	688977
b0657	647	-	689342	690881
b0658	648	-	690905	691784
b0659	649	-	691873	692341
b0660	650	-	692337	693378
b0661	651	-	693530	694955
b0662	652	+	695100	696276
b0674	653	-	697512	699177
b0675	654	-	699573	700326
b0676	655	-	700373	701594
b0677	656	-	701602	702751
b0678	657	-	702810	703611
b0679	658	+	703943	705890
b0680	659	+	706092	707757
b0681	660	+	708333	709740
b0682	661	+	709789	710116
b0683	662	-	710199	710646
b4637	663	-	710638	710725
b0684	664	-	710934	711465
b0685	665	-	711604	711898
b0686	666	-	712037	712802
b0687	667	+	712986	713532
b0688	668	+	713557	715198
b0689	669	+	715411	715906
b0692	670	-	716945	718265
b0693	671	-	718261	720460
b4803	672	-	720717	720822
b0694	673	-	721055	721733
b0695	674	-	721729	724414
b0696	675	-	724406	724979
b0697	676	-	724987	727036
b0698	677	-	727058	728732
b4513	678	-	728731	728821
b0699	679	+	729133	729340
b0700	680	+	729582	733776
b0702	681	+	733775	734102
b0704	682	+	735649	736219
b4514	683	+	736444	736699
b0706	684	+	738091	738853
b0707	685	+	739000	739510
b0708	686	+	739506	740925
b0709	687	-	741074	742556
b0710	688	+	742826	743570
b0711	689	+	743592	744249
b0712	690	+	744242	745175
b0713	691	+	745164	745899
b0714	692	+	745934	746726
b0715	693	-	746722	747769
b0716	694	-	747920	748982
b0717	695	-	748978	749707
b0718	696	-	749721	752169
b0719	697	-	752228	752795
b0720	698	-	753184	754468
b4768	699	-	754657	754690
b4735	700	-	754673	754781
b0721	701	+	755176	755566
b0722	702	+	755559	755907
b0723	703	+	755906	757673
b0724	704	+	757688	758405
b0726	705	+	758705	761507
b0727	706	+	761521	762739
b0728	707	+	763013	764180
b0729	708	+	764179	765049
b0730	709	-	765152	765875
b0731	710	+	765983	767960
b0732	711	+	767977	770611
b0733	712	+	771457	773026
b0734	713	+	773041	774181
b4515	714	+	774195	774309
b0735	715	+	774308	774602
b0736	716	+	774751	775156
b0737	717	+	775152	775845
b0738	718	+	775848	776277
b0739	719	+	776341	777607
b0740	720	+	777739	779032
b0741	721	+	779066	779588
b0742	722	+	779597	780389
b0750	723	+	782084	783128
b0751	724	+	783165	783885
b0752	725	-	783881	784823
b0753	726	-	784936	785317
b0754	727	+	785632	786685
b0755	728	-	786842	787595
b0756	729	-	787796	788837
b0757	730	-	788830	789979
b0758	731	-	789982	791029
b0759	732	-	791038	792055
b0760	733	-	792315	793788
b0761	734	-	793855	794644
b0762	735	+	794772	794922
b0763	736	+	795088	795862
b0764	737	+	795861	796551
b0765	738	+	796553	797612
b0766	739	-	797612	798431
b0767	740	+	798585	799581
b0768	741	-	799621	800575
b0769	742	+	800758	801811
b0770	743	+	801886	803320
b0771	744	+	803502	805764
b0772	745	-	805997	807281
b0773	746	-	807432	807909
b0774	747	-	807967	809257
b0775	748	+	809343	810384
b0776	749	+	810380	811535
b0777	750	+	811521	812277
b0778	751	+	812269	812947
b0779	752	+	813525	815547
b0780	753	-	815738	816647
b0781	754	+	817043	818033
b0782	755	+	818054	818567
b0783	756	+	818569	819055
b0784	757	+	819047	819293
b0785	758	+	819294	819747
b0786	759	+	819883	820588
b0787	760	+	820792	821506
b0788	761	-	821541	822498
b0789	762	-	822497	823739
b0790	763	-	823735	824497
b0791	764	+	824629	825040
b0792	765	-	825001	826108
b0793	766	-	826118	827252
b0794	767	-	827244	828981
b0795	768	-	828973	829972
b0796	769	-	829971	830643
b0797	770	+	830871	832236
b0798	771	-	832467	832950
b0799	772	+	833069	835220
b0800	773	+	835247	836210
b0801	774	+	836350	837436
b4769	775	+	837502	837562
b0802	776	-	837664	837925
b0803	777	-	838189	838456
b0804	778	-	838529	839207
b0805	779	-	839248	841531
b0806	780	-	841795	842056
b0807	781	+	842331	843258
b0808	782	-	843254	845480
b0809	783	-	845740	846463
b0810	784	-	846459	847119
b0811	785	-	847257	848004
b0812	786	-	848407	848911
b0813	787	-	849209	850097
b4736	788	+	850331	850397
b0814	789	+	850449	850965
b0815	790	-	851013	852597
b4705	791	-	852868	852997
b0817	792	+	853182	853650
b0818	793	+	853646	854765
b0819	794	-	854823	855744
b0820	795	+	855962	857555
b0821	796	-	857795	859061
b0822	797	-	859212	860028
b0823	798	-	860173	862606
b0824	799	-	862611	863511
b0825	800	+	863641	864304
b0826	801	-	864379	865129
b0827	802	-	865128	866364
b0828	803	+	866567	867533
b0829	804	+	867519	869391
b0830	805	+	869410	870949
b0831	806	+	870966	871887
b0832	807	+	871889	872801
b0833	808	+	872978	875327
b0834	809	+	875334	876663
b0835	810	-	876709	878035
b0836	811	+	878247	878631
b0837	812	+	878741	879857
b0838	813	-	879853	880480
b0839	814	+	880726	881929
b0840	815	-	881975	882734
b0841	816	-	882791	883388
b0842	817	+	883672	884905
b0843	818	-	884945	885230
b0844	819	-	885315	886131
b0845	820	-	886130	887339
b0846	821	+	887422	887959
b0847	822	-	888133	889819
b0848	823	+	890088	890466
b0849	824	-	890495	890753
b0850	825	+	890912	891200
b0851	826	+	891183	891906
b0852	827	+	891966	892869
b0853	828	+	892956	893433
b0854	829	+	893783	894896
b0855	830	+	894990	896124
b0856	831	+	896133	897087
b0857	832	+	897083	897929
b0858	833	+	897988	898477
b0859	834	+	898517	899645
b0860	835	-	899843	900575
b0861	836	-	900865	901534
b0862	837	-	901533	902250
b0863	838	-	902256	902988
b0864	839	-	903005	903734
b0865	840	-	903951	904467
b0866	841	+	904592	904916
b0867	842	+	904912	905743
b0868	843	-	905739	906753
b0869	844	-	906851	908282
b0870	845	-	908292	909294
b0871	846	-	909330	911049
b0872	847	-	911181	912150
b0873	848	-	912161	913814
b0874	849	-	913957	914857
b0875	850	-	915351	916047
b0876	851	+	916472	918131
b0877	852	-	918127	919120
b0878	853	+	919234	920350
b0879	854	+	920346	922293
b0880	855	-	922365	922590
b4770	856	+	922739	922814
b0881	857	+	922912	923233
b0882	858	+	923263	925540
b0884	859	-	926224	926443
b0885	860	-	926727	927432
b0886	861	-	927473	929195
b0887	862	-	929195	930962
b0888	863	-	931084	932050
b0889	864	+	932594	933089
b0890	865	+	933223	937213
b0891	866	+	937371	937983
b0892	867	+	937993	939337
b0893	868	+	939427	940720
b0894	869	+	940958	943403
b0895	870	+	943413	944031
b0896	871	+	944032	944896
b0897	872	-	944930	945557
b0898	873	+	945870	947019
b0899	874	+	947228	948659
b0900	875	-	948659	949568
b0901	876	+	949667	950258
b0902	877	-	950339	951080
b0903	878	-	951271	953554
b0904	879	-	953608	954466
b0905	880	-	954871	956632
b0906	881	+	956761	957454
b0907	882	+	957652	958741
b0908	883	+	958811	960095
b0909	884	+	960263	961028
b0910	885	+	961200	961884
b0911	886	+	961994	963668
b0912	887	+	963827	964112
b0913	888	+	964319	966584
b0914	889	+	966620	968369
b0915	890	+	968365	969352
b0916	891	+	969388	970621
b0917	892	+	970672	970855
b0918	893	+	970851	971598
b0919	894	+	971751	972645
b0920	895	-	972621	973401
b0921	896	+	973536	974322
b0922	897	+	974318	975641
b0923	898	+	975621	976326
b0924	899	+	976325	980786
b0925	900	+	981046	982894
b0926	901	+	983074	983623
b0927	902	+	983649	984297
b0928	903	-	984518	985709
b0929	904	-	985893	986982
b0930	905	-	987584	988985
b0931	906	-	989153	990356
b0932	907	+	990621	993234
b0933	908	-	993276	994044
b0934	909	-	994040	994832
b0935	910	-	994842	995988
b0936	911	-	995984	996944
b0937	912	-	996936	997512
b0938	913	+	997867	998407
b0939	914	+	998489	999191
b0940	915	+	999215	1001816
b0941	916	+	1001806	1002877
b0942	917	+	1002888	1003431
b0943	918	+	1003438	1003954
b0944	919	+	1003946	1004657
b0945	920	+	1004767	1005778
b0946	921	+	1005951	1006494
b0947	922	-	1006490	1007600
b0948	923	+	1007843	1009952
b0949	924	+	1009963	1011871
b0950	925	+	1012000	1013254
b0951	926	+	1013258	1014899
b0952	927	+	1014895	1015459
b0953	928	+	1015714	1015882
b0954	929	-	1015951	1016470
b0955	930	-	1016538	1018299
b0956	931	+	1018484	1018937
b0957	932	-	1019012	1020053
b0958	933	-	1020409	1020919
b0959	934	+	1021137	1021767
b0960	935	-	1021729	1023883
b0961	936	-	1023901	1024348
b0962	937	+	1024470	1026525
b0963	938	-	1026556	1027015
b0964	939	-	1027110	1027773
b0965	940	+	1027945	1028359
b0966	941	-	1028403	1028721
b0967	942	-	1028778	1029969
b0968	943	+	1030063	1030342
b0969	944	-	1030338	1030668
b0970	945	-	1030758	1031418
b0972	946	+	1032138	1033257
b0973	947	+	1033253	1035047
b0974	948	+	1035065	1035773
b0975	949	+	1035769	1036357
b0976	950	+	1036353	1036752
b0977	951	+	1036748	1037606
b0978	952	+	1037739	1039284
b0979	953	+	1039295	1040432
b4592	954	+	1040444	1040537
b0980	955	+	1040616	1041915
b0981	956	-	1042029	1044210
b0982	957	-	1044229	1044676
b0983	958	-	1044663	1045803
b0984	959	-	1045848	1047945
b0985	960	-	1047944	1048691
b0986	961	-	1048687	1049332
b0987	962	-	1049438	1049744
b4516	963	+	1049832	1050108
b0988	964	+	1050026	1050530
b0989	965	-	1050962	1051175
b0990	966	+	1051460	1051673
b4723	967	+	1051683	1051872
b0991	968	+	1051846	1052077
b4517	969	+	1052066	1052240
b0992	970	-	1052288	1053362
b0993	971	-	1053433	1056178
b0994	972	+	1056260	1057289
b0995	973	-	1057261	1057954
b0996	974	+	1058083	1059256
b0997	975	+	1059255	1061802
b0998	976	+	1061798	1062398
b0999	977	-	1062549	1062855
b1000	978	-	1062854	1063775
b1001	979	+	1064035	1065292
b1002	980	+	1065584	1066826
b1003	981	-	1066863	1067091
b1004	982	-	1067111	1067708
b4518	983	+	1068080	1068254
b1006	984	-	1068510	1069839
b1007	985	-	1069859	1070354
b1008	986	-	1070364	1070955
b1009	987	-	1070964	1071765
